"BookName","Edition","ISBN13","ISBN10","Author1","Description"
"MANAGERIAL ACCT W/CONNECT >IC<","15th Edition","9781259380839","1259380831","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison?s Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor?s manual, and study guide ? making them both of high quality and extremely consistent with the textbook."
"Calculus For Business, Economics, Life Sciences And Social Sciences, 5th Custom Edition For Depaul University","5th Edition","9781269950275","1269950274","Byleen, Ziegler, Barnett","Textbook has no writing/ highlighting and the binding is in excellent condition as shown in photos shown. Text DOES NOT include access code. Thank you for your purchase!"
"Bundle: Financial & Managerial Accounting, Loose-leaf Version, 13th + CengageNOWv2, 1 term (6 months) Printed Access Card Corporate Financial ... Access Card for Managerial Accounting, 13th","13th Edition","9781305781429","1305781422","Carl Warren, James M. Reeve, Jonathan Duchac","Market-leading Warren/Reeve/Duchac's FINANCIAL AND MANAGERIAL ACCOUNTING has been on the forefront of innovation and change based on the needs of today's teaching and learning environment. Warren/Reeve/Duchac's FINANCIAL AND MANAGERIAL ACCOUNTING
   14E and CengageNOWv2 help elevate thinking with content that addresses each stage of the learning process from motivation to mastery. This integrated system motivates students to learn, provides practice opportunities to better prepare for exams, and helps students achieve mastery with tools to help them make connections and see the big picture. The Complete Learning System in FINANCIAL AND MANAGERIAL ACCOUNTING and CengageNOWv2 is built around the way students use textbooks and online resources to learn, study and complete homework, allowing them to achieve ultimate success in this course. New to this edition, the authors have created innovative content that is focused on unique student and instructor needs before and after lecture - and the type of activities best-suited to each point in learning. 

New content such as the author-written Dynamic Exhibits allow students to change the variables in a scenario and see how a change ripples through the accounting system, helping students understand how concepts relate to one another. Dynamic Exhibits allow students to see connections and relationships like never before! The end goal of Warren/Reeve/Duchac's FINANCIAL AND MANAGERIAL ACCOUNTING and CengageNOWv2 is to elevate thinking and create more empowered and prepared students--ready to take on the rest of their educational and career goals."
"Horngren's Accounting, Student Value Edition Plus MyAccountingLab with Pearson eText, Access Card Package","11th Edition","9780134078946","134078942","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","Sample questions asked in the 11th edition of Horngren's Accounting, Student Value Edition Plus MyAccountingLab with Pearson eText -- Access Card Package:

Organizing a corporation and issuing stock John and Michael are opening a paint store. There are no competing paint stores in the area. They must decide how to organize the business. They anticipate profits of $100,000 the first year, with the ability to sell franchises in the future. Although they have enough to start the business now as a partnership, cash flow will be an issue as they grow. They feel the corporate form of operation will be best for the long term. They seek your advice. Requirements 1. What is the main advantage they gain by selecting a corporate form of business now? 2. Would you recommend they initially issue preferred or common stock? Why? 3. If they decide to issue $10 par common stock and anticipate an initial market price of $40 per share, how many shares will they need to issue to raise $2,250,000?"
"Horngren's Financial & Managerial Accounting, The Managerial Chapters (5th Edition)","5th Edition","9780133851298","013385129X","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","Expanding on Proven Success with Horngren's Financial and Managerial Accounting 
Horngren?s Financial and Managerial Accounting presents the core content of the accounting course in a fresh format designed to help today?s learners succeed. The Eleventh Edition expands on the proven success of the significant revision to the Horngren franchise and uses what the authors have learned from focus groups, market feedback, and colleagues to create livelier classrooms, provide meaningful learning tools, and give professors resources to help students inside and outside the class. First, the authors ensured that content was clear, consistent, and above all, accurate. Every chapter is reviewed to ensure that students understand what they are reading and that there is consistency from chapter to chapter. The author team worked every single accounting problem and employed a team of accounting professors from across the nation to review for accuracy. 

This edition continues the focus on student success and provides resources for professors to create an active and engaging classroom. Through MyAccountingLab, students have the opportunity to watch author recorded solution videos, practice the accounting cycle using an interactive tutorial, and watch in-depth author-driven animated lectures that cover every learning objective. In addition, all instructor resources have been updated to accompany this edition of the book, including the PowerPoint presentations and Test Bank."
"Accounting: What the Numbers Mean","12th Edition","9781308841380","1308841388","David H. Marshall, Wayne W. McManus, Daniel F. Viele","Accounting: What the Numbers Mean PENN STATE ERIE BEHREND COLL ACCOUNTING"
"McKnight's Physical Geography: A Landscape Appreciation, Books a la Carte Edition and Modified MasteringGeography with Pearson eText -- ValuePack Access Card, 12/e","12th Edition","9780134587837","134587839","Pearson Education","NOTE: This edition features the same content as the traditional text in a convenient, three-hole-punched, loose-leaf version. Books a la Carte also offer a great value?this format costs significantly less than a new textbook. Before purchasing, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a Course ID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products.

 

For courses in Physical Geography.

 

Explore the changing global environment with real-world examples and mobile field trips

Continuing Tom L. McKnight's well-known thematic focus on landscape appreciation, Darrel Hess offers a broad survey of all of the physical processes and spatial patterns that create Earth?s physical landscape. McKnight?s Physical Geography: A Landscape Appreciation provides a clear writing style, superior art program, and abundant pedagogy to appeal to a wide variety of students.

 

The Twelfth Edition offers a truly meaningful integration of visualization, technology, and the latest applied science, providing essential opportunities to teach and engage students in these processes and patterns. Topics that are tied to students? real-world concerns such as global environmental change, along with new videos, photography, online lab resources, and updated interactive tools, make it the most effective learning program for physical geography.

 

Also available with MasteringGeographyTM

MasteringGeography is an online homework, tutorial, and assessment product proven to improve results by helping students quickly master physical geography concepts. Students benefit from self-paced coaching activities that feature personalized wrong-answer feedback and hints that emulate the office-hour experience and help keep students on track. With a wide range of interactive, engaging, and assignable activities, students are encouraged to actively learn and retain challenging course concepts."
"FINANCIAL ACCOUNT.-PRINT COMP.-W/ACCESS","10th Edition","9781119346678","1119346673","Weygandt",
"Horngren's Financial & Managerial Accounting, Student Value Edition (5th Edition)","5th Edition","9780133851267","133851265","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","NOTE: Before purchasing, check with your instructor to ensure you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, and registrations are not transferable. To register for and use Pearson's MyLab & Mastering products, you may also need a Course ID, which your instructor will provide. Student can use the URL and phone number below to help answer their questions: http: //247pearsoned.custhelp.com/app/home 800-677-6337 Used books, rentals, and purchases made outside of Pearson If purchasing or renting from companies other than Pearson, the access codes for Pearson's MyLab & Mastering products may not be included, may be incorrect, or may be previously redeemed. Check with the seller before completing your purchase. 

For courses in Financial and Managerial Accounting. This package includes MyAccountingLab(R). Expanding on Proven Success with Horngren's Financial and Managerial Accounting Horngren's Financial and Managerial Accounting presents the core content of the accounting course in a fresh format designed to help today's learners succeed. The Eleventh Edition expands on the proven success of the significant revision to the Horngren franchise and uses what the authors have learned from focus groups, market feedback, and colleagues to create livelier classrooms, provide meaningful learning tools, and give professors resources to help students inside and outside the class. First, the authors ensured that content was clear, consistent, and above all, accurate. 

Every chapter is reviewed to ensure that students understand what they are reading and that there is consistency from chapter to chapter. The author team worked every single accounting problem and employed a team of accounting professors from across the nation to review for accuracy. This edition continues the focus on student success and provides resources for professors to create an active and engaging classroom. Through MyAccountingLab, students have the opportunity to watch author recorded solution videos, practice the accounting cycle using an interactive tutorial, and watch in-depth author-driven animated lectures that cover every learning objective. In addition, all instructor resources have been updated to accompany this edition of the book, including the PowerPoint presentations and Test Bank. 

Personalize learning with MyAccountingLab MyAccountingLab is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts. 0134047478/ 9780134047478 Horngren's Financial & Managerial Accounting, The Managerial Chapters Plus MyAccountingLab with Pearson eText -- Access Card Package, 5/e 013385129X/ 9780133851298 Horngren's Financial & Managerial Accounting, The Managerial Chapters, 5/e 0133877248/ 9780133877243 MyAccountingLab with Pearson eText -- Access Card -- for Horngren's Financial & Managerial Accounting, The Managerial Chapters, 5/e"
"Fundamental Accounting Principles -Hardcover","22nd Edition","9780077862275","77862279","John J Wild, Ken Shaw Accounting Professor, Barbara Chiappetta Fundamental Accounting Principles","Enhancements in technology have changed how we live and learn. Working with learning resources across devices, whether smartphones, tablets, or laptop computers, empowers students to drive their own learning by putting increasingly intelligent technology into their hands. Whether the goal is to become an accountant, a businessperson, or simply an informed consumer of accounting information, Fundamental Accounting Principles has helped generations of students succeed. Its leadingedge accounting content, paired with state-of-the-art technology, supports student learning and elevates understanding of key accounting principles. Fundamental Accounting Principles also delivers innovative technology to help student performance. Connect Accounting provides students with a media-rich eBook version of the textbook and offers instant grading and feedback for assignments that are completed online. Our system for completing exercise and problem material takes accounting content to the next level, delivering assessment material in a more intuitive, less restrictive format that adapts to the needs of today's students."
"Corporate Financial Accounting","15th Edition","9781337398169","1337398160","Carl Warren, Jeff Jones","Gain a solid foundation in the core accounting concepts as you develop a true appreciation for why accounting is important to business and a prosperous society with Warren/Jones' CORPORATE FINANCIAL ACCOUNTING, 15E. Available with CengageNOWv2, this latest edition clearly demonstrates how accounting is more than just data or black-and-white rules. Instead, you see how accounting provides key information that professionals use to make critical business decisions."
"Financial Accounting, 10e WileyPLUS Registration Card + Loose-leaf Print Companion","10th Edition","9781119346661","1119346665","Jerry J. Weygandt, Paul D. Kimmel, Donald E. Kieso","This package includes a three-hole punched, loose-leaf edition of ISBN 9781119305736 and a registration code for the WileyPLUS course associated with the text. Before you purchase, check with your instructor or review your course syllabus to ensure that your instructor requires WileyPLUS.  For customer technical support, please visit http://www.wileyplus.com/support. WileyPLUS registration cards are only included with new products. Used and rental products may not include WileyPLUS registration cards. More students get accounting when using Weygandt, Kimmel, Kieso, Financial Accounting, 10th Edition Loose-leaf Print Companion because of the unique Framework of Success created and refined by the authors based on years of teaching and course design experience. 

In WileyPLUS and in print, clear and relevant exposition, engaging visuals and videos, and valuable end-of-chapter material work together to build students? confidence and mastery of accounting concepts and skills. The new 10th edition of Financial Accounting Loose-leaf Print Companion by Weygandt, Kimmel, and Kieso continues to provide students with a clear and comprehensive introduction to financial accounting and has been thoroughly updated with extensive digital resources to further enhance student learning and success."
"FINANCIAL ACCT.:TOOLS...(LL)-W/ACCESS","8th Edition","9781119221654","111922165X","Kimmel","Starting with the big picture of financial statements first, Paul Kimmel's Financial, 8th Edition, shows students why financial accounting is important to their everyday lives, business majors, and future careers. This best-selling financial accounting program is known for a student-friendly writing style, visual pedagogy, the most relevant and easy to understand examples, and teaching the accounting cycle through the lens of one consistent story of Sierra Corp, an outdoor adventure company."
"FINANCIAL ACCOUNTING + CONNECT PLUS","9th Edition","9781260051483","126005148X","Libby","More students get accounting when using Weygandt's Financial Accounting, 9th Edition because of the unique Framework of Success created and refined by the authors based on years of teaching and course design  experience. The Team for Success is focused on helping millennial students get the most out of their accounting courses in the digital age, and on helping instructors deliver the most effective courses whether face-to-face, hybrid, or online with model course plans designed for easy and effective implementation. Financial Accounting, 9th Edition by Weygandt, Kimmel, Kieso provides students with a clear and comprehensive introduction to financial accounting that begins with the building blocks of the accounting cycle. WileyPLUS sold separately from text."
"HORNGREN'S FIN.+...V.1(LL)-W/ACCESS >C<","16th Edition","9781323169360","1323169369","MILLER-NOBLES","Horngren?s Financial and Managerial Accounting presents the core content of the accounting course in a fresh format designed to help today?s learners succeed. The Eleventh Edition expands on the proven success of the significant revision to the Horngren franchise and uses what the authors have learned from focus groups, market feedback, and colleagues to create livelier classrooms, provide meaningful learning tools, and give professors resources to help students inside and outside the class. First, the authors ensured that content was clear, consistent, and above all, accurate. Every chapter is reviewed to ensure that students understand what they are reading and that there is consistency from chapter to chapter. The author team worked every single accounting problem and employed a team of accounting professors from across the nation to review for accuracy."
"ACCT.PRINCIPLES (LOOSELEAF)-W/ACCESS","12th Edition","9781119036401","1119036402","Weygandt","Accounting Principles 12th Edition by Weygandt, Kimmel, and Kieso provides students with a clear introduction to fundamental accounting concepts. The Twelfth Edition helps students get the most out of their accounting course by making practice simple. Both in the print text and online in WileyPLUS with ORION new opportunities for self-guided practice allow students to check their knowledge of accounting concepts, skills, and problem solving techniques and receive personalized feedback at the question, learning objective, and course level. Newly streamlined learning objectives help students use their study time efficiently by creating a clear connections between the reading and video content, and the practice, homework, and assessments questions."
"FINANCIAL ACCT.-PRINT COMP.(LL)W/ACCESS","10th Edition","9781119346654","1119346657","Weygandt",
"ESSENTIALS OF BUSINESS COMM (VALUE ED)","11th Edition","9780357323441","357323440","Guffey",
"Managerial Accounting (Smeal College of Business Penn State University)","15th Edition","9781308509884","130850988X","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison?s Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor?s manual, and study guide ? making them both of high quality and extremely consistent with the textbook."
"Managerial Accounting (4th Edition)","4th Edition","9780133428377","133428370","Karen W. Braun, Wendy M. Tietz","ALERT:?Before you purchase, check with your instructor or review your course syllabus to ensure that you?select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition,?you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products.

?

Packages

Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase.

?

Used or rental books

If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code.

?

Access codes

Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. Check with the seller prior to purchase.


For courses in Introduction to Management Accounting

Managerial Accounting, Fourth Edition helps students make the connection between managerial accounting concepts and the businesses they deal with everyday through strong coverage and effective practice. By presenting actual accounting decisions made in companies like Target and J. Crew, the text?s precise coverage of the core concepts engages students in the learning process.

MyAccountingLab for Managerial Accounting is an online homework, tutorial, and assessment program that truly engages students in learning. It helps students better prepare for class, quizzes, and exams?resulting in better performance in the course?and provides educators with a dynamic set of tools for gauging individual and class progress.

This program provides a better teaching and learning experience?for you and your students. Here?s how:

Personalized learning with MyAccountingLab?the online homework, tutorial and assessment program that helps students succeed in the classroom and beyond.
Students see the connections between accounting concepts and the businesses they interact with everyday.
Students learn from the latest information on important topics in the field.
Note: You are purchasing a standalone product; MyAccountingLab does not come packaged with this content. If you would like to purchase both the physical text and MyAccountingLab search for ISBN-10: 0133803805/ISBN-13: 9780133803808. That package includes ISBN-10: 0133428370/ISBN-13: 9780133428377 and ISBN-10: 0133451488/ISBN-13: 9780133451481.


MyAccountingLab is not a self-paced technology and should only be purchased when required by an instructor."
"GEN COMBO LOOSELEAF INTERMEDIATE ACCOUNTING; CONNECT ACCESS CARD","9th Edition","9781260089042","1260089045","J. David Spiceland",
"FUND.OF FINANCIAL MGMT.-MINDTAP(1 TERM)","15th Edition","9781337710268","1337710261","Brigham","MindTap Finance for Brigham/Houston's FUNDAMENTALS OF FINANCIAL MANAGEMENT helps you learn on your terms. INSTANT ACCESS IN YOUR POCKET. Take advantage of the MindTap Mobile App to learn on your terms. Read or listen to textbooks and study with the aid of instructor notifications, flashcards, and practice quizzes. MindTap HELPS YOU CREATE YOUR OWN POTENTIAL. GEAR UP FOR ULTIMATE SUCCESS. Track your scores and stay motivated toward your goals. Whether you have more work to do or are ahead of the curve, you'll know where you need to focus your efforts. And the MindTap Green Dot will charge your confidence along the way. MindTap HELPS YOU OWN YOUR PROGRESS. MAKE YOUR TEXTBOOK YOURS. No one knows what works for you better than you. Highlight key text, add notes, and create custom flashcards. When it's time to study, everything you've flagged or noted can be gathered into a guide you can organize."
"INTERMEDIATE ACCOUNTING LL W/ CONNECT","9th Edition","9781307075625","1307075622","SPICELAND",
"FINANCIAL ACCT.:TOOLS...(LL)-W/ACCESS","8th Edition","9781119250913","1119250919","Kimmel","For customer technical support, please visit http://www.wileyplus.com/support. WileyPLUS registration cards are only included with new products. Used and rental products may not include WileyPLUS registration cards.
Written in a concise, clear, and conversation way, Kimmel Financial Accounting 7th Edition Binder Ready Version provides just the right amount of information students need to come to class prepared, while powerful visuals and Interactive Tutorials make complex accounting concepts possible to absorb quickly. Starting with the big picture of financial statements first, Paul Kimmel shows students why financial accounting is important to their everyday lives, business majors, and future careers. This best-selling financial accounting text is known for the most relevant and easy to understand examples, while teaching students the accounting cycle through the lens of one consistent story of Sierra Corp, an outdoor adventure company."
"ADVANCED ACC W/ACCESS CODE","2018th Edition","9781260498752","1260498751","Hoyle",
"INTERMEDIATE ACCT.(LL)-W/ACCESS>CUSTOM<","16th Edition","9781119360537","1119360536","Kieso",
"MyLab Accounting with Pearson eText -- Access Card -- for Horngren's Financial & Managerial Accounting, The Financial Chapters","6th Edition","9780134461656","134461657","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","ALERT: Before you purchase, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products. NOTE: Make sure to use the dashes shown on the Access Card Code when entering the code. Student can use the URL and phone number below to help answer their questions: http://247pearsoned.custhelp.com/app/home 800-677-6337 Packages Access codes for Pearson's MyLab & Mastering products may not be included when purchasing or renting from companies other than Pearson; check with the seller before completing your purchase. 
Used or rental books If you rent or purchase a used book with an access code, the access code may have been redeemed previously and you may have to purchase a new access code. Access codes Access codes that are purchased from sellers other than Pearson carry a higher risk of being either the wrong ISBN or a previously redeemed code. Check with the seller prior to purchase. 0134461657 / 9780134461656 MyAccountingLab with Pearson eText -- Access Card -- for Horngren's Financial & Managerial Accounting, The Financial Chapters, 6/e Package consists of: 0132871483 / 9780132871488 NEW MyAccountingLab with eText -- Component Access Card (1-Semester Access) (2017), 1/e 0134461592 / 9780134461595 MyAccountingLab with Pearson eText -- Instant Access -- for Horngren's Financial & Managerial Accounting, The Financial Chapters, 6/e"
"Intermediate Accounting","16th Edition","9781118743201","1118743202","Donald E. Kieso, Jerry J. Weygandt, Terry D. Warfield","Kieso, Weygandt, and Warfield?s Intermediate Accounting, Sixteenth Edition continues to set the standard for students and professionals in the field. The 16th edition builds on this legacy through new, innovative student-focused learning. Kieso maintains the qualities for which the text is globally recognized, including its reputation for accuracy, comprehensiveness, accessibility, and quality problem material that best prepares students for success on the CPA exam and accounting careers. The 16th edition offers the most up-to-date coverage of US GAAP & IFRS in a format suited to the complex challenges of teaching intermediate accounting in these changing times."
"Accounting Principles - Standalone book","12th Edition","9781118875056","1118875052","Jerry J. Weygandt, Paul D. Kimmel, Donald E. Kieso","Accounting Principles 12th Edition by Weygandt, Kimmel, and Kieso provides students with a clear introduction to fundamental accounting concepts. The Twelfth Edition helps student get the most out of their accounting course by making practice simple. This text allows for new opportunities for self-guided practice allow students to check their knowledge of accounting concepts, skills, and problem-solving techniques and receive personalized feedback at the question, learning objective, and course level. Newly streamlined learning objectives help students use their study time efficiently by creating a clear connections between the reading and video content, and the practice, homework, and assessments  questions. Weygandt, Accounting Principles is a best-selling  program ideal for a two-semester Principles of Accounting sequence  where students spend the majority of the time learning financial  accounting concepts, and are introduced to the basic concepts of  managerial accounting at the end of the sequence  With  Accounting Principles students learn the accounting cycle from a  sole proprietor perspective."
"Principles Of Financial Accounting 12e + Wileyplus Registration Card","12th Edition","9781119151371","1119151376","Weygandt","This package includes a copy of ISBN 9781118978740 and a registration code for the WileyPLUS course associated with the text. Before you purchase, check with your instructor or review your course syllabus to ensure that your instructor requires WileyPLUS.

For customer technical support, please visit http://www.wileyplus.com/support. WileyPLUS registration cards are only included with new products. Used and rental products may not include WileyPLUS registration cards.

Accounting Principles, 12th Edition by Weygandt, Kimmel, and Kieso provides students with a clear introduction to fundamental accounting concepts. This edition, which includes chapters 1-18, helps students get the most out of their accounting course by making practice simple. New opportunities for self-guided practice allow students to check their knowledge of accounting concepts, skills, and problem solving techniques and receive personalized feedback at the question, learning objective, and course level. Newly streamlined learning objectives help students use their study time efficiently by creating a clear connections between the reading and video content, and the practice, homework, and assessments questions. Accounting Principles is a best-selling program ideal for a two-semester Principles of Accounting sequence where students spend the majority of the time learning financial accounting concepts, and are introduced to the basic concepts of managerial accounting at the end of the sequence. With Accounting Principles students learn the accounting cycle from a sole proprietor perspective."
"CUSTOM PKG FOR AC114","27th Edition","9781337781923","1337781924","WARREN",
"ADVANCED ACCT W/CONNECT >CUSTOM<","2018th Edition","9781307261721","1307261728","Hoyle",
"INTERMEDIATE ACCOUNTING (LL) >CUSTOM<","9th Edition","9781260191264","1260191265","SPICELAND",
"MANAGERIAL ACOUNTING /1 SEM CONNECT","15th Edition","9781260062533","1260062538","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison?s Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor?s manual, and study guide ? making them both of high quality and extremely consistent with the textbook."
"Horngren's Financial & Managerial Accounting Plus MyLab Accounting with Pearson eText -- Access Card Package (6th Edition)","6th Edition","9780134674568","134674561","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","Book Description
Horngren's Financial and Managerial Accounting Plus MyAccountingLab with Pearson EText -- Access Card Package 6th

NOTE: Before purchasing, check with your instructor to ensure you select the correct ISBN. Several versions of MyLab(TM) and Mastering(TM) platforms exist for each title, and registrations are not transferable. To register for and use MyLab or Mastering platforms, you may also need a Course ID, which your instructor will provide. Used books, rentals, and purchases made outside of Pearson If purchasing or renting from companies other than Pearson, the access codes for MyLab or Mastering platforms may not be included, may be incorrect, or may be previously redeemed. Check with the seller before completing your purchase. 

For courses in Financial and Managerial Accounting. This package includes MyLab Accounting . Expanding on proven success with Horngren's financial and managerial accounting Horngren's Financial and Managerial Accounting presents the core content of principles of accounting in a fresh format designed to help today's learners succeed. As teachers first, the author team knows the importance of delivering a reader experience free of obstacles. Their pedagogy and content uses leading methods in teaching readers critical foundational topics and concentrates on improving results--all tested in class by the authors themselves. With this in mind, the 6th Edition continues to focus on readability and comprehension and takes this a step further in the managerial chapters by employing a new theme to help individuals see how managerial accounting is used as a tool to help all business people make decisions. 

By providing more meaningful learning tools, this title gives readers the resources needed to them clear hurdles like never before. Personalize learning with MyLab Accounting MyLab(TM) Accounting is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts. 0134674561 / 9780134674568 Horngren's Financial & Managerial Accounting Plus MyLab Accounting with Pearson eText -- Access Card Package Package consists of: 0134450817 / 9780134450810 MyLab Accounting with Pearson eText -- Access Card -- for Horngren's Financial & Managerial Accounting 0134486838 / 9780134486833 Horngren's Financial & Managerial Accounting"
"Financial & Managerial Accounting, Loose-Leaf Version","14th Edition","9781337270700","1337270709","Carl S. Warren, James M. Reeve, Jonathan Duchac","Activate Learning with Warren/Reeve/Duchac's, FINANCIAL AND MANAGERIAL ACCOUNTING, 12e, International Edition! Market-leading FINANCIAL AND MANAGERIAL ACCOUNTING, International Edition has been on the forefront of innovation and change based on the needs of today's students. Warren offers you clear guidance to complete homework with an efficient presentation for today's learner. The high impact writing style and streamlined design makes important information accessible, with a focus on providing the best and most complete examples.The Complete Learning System in FINANCIAL AND MANAGERIAL ACCOUNTING, International Edition and CengageNOW is built around the way you use textbooks and online resources to learn, study and complete homework, allowing you to achieve ultimate success in this course.The end goal of Warren/Reeve/Duchac's text and technology learning system is to Activate Learning & making you a more active participant in the learning process and making you better prepared--ready to take on the rest of your educational and career goals."
"INTERMEDIATE ACCOUNTING-WILEYPLUS CARD","16th Edition","9781119170792","1119170796","Kieso",
"FUND.OF ADVANCED ACCTG.-ACCESS","7th Edition","9781260048834","1260048837","Hoyle","Connect with LearnSmart for Hoyle: Fundamentals of Advanced Accounting, 7e"
